,MAX MINT FOR PARTNERSHIP ORB IS 3,UWU ORB,KGF ORB,LAMP ORB,KAIJU ORB,CAPS ORB,ASUNA ORB,MURI ORB,HAUS ORB,*SORTED BY GOOGLE SHEETS COLUMN RANGE OF ORBS
1,0x7707244943b331629d574a6d7a97fa89fa75e3e0,0,0,0,0,0,0,0,1,
1,0xf2e9bf60d65d2e66916093d81fa736c215dfdf95,0,0,0,0,0,0,0,1,
1,0xc6f661e82b73897656d94fc9bd0366f7478eda6e,0,0,0,0,0,0,0,1,
1,0x5afd722ff194ebd83d158c199c0e7c6b081bc744,0,0,0,0,0,0,0,1,
1,0xfec0d4f2ee81bdd3f99cfcd99843d01b6b5e4500,0,0,0,0,0,0,0,1,
1,0x84dc68ddc5e0cdb79f8ddf4534157ec3a10623c4,0,0,0,0,0,0,0,1,
1,0x7f3a4459e18f3654152e618dc06df95e3bc7a104,0,0,0,0,0,0,0,1,
1,0xa661019204cc6bad53fef5c60f4e13ee8580683f,0,0,0,0,0,0,0,1,
1,0x975e0e9456aca3b4933f5d6b9f0c98225cfa94cf,0,0,0,0,0,0,0,1,
1,0x09b3b044b7ef2b55999b19d83baee83b046fb822,0,0,0,0,0,0,0,1,
1,0xf1a1d37893747aad3dc6ee9844f051c29832de9b,0,0,0,0,0,0,0,1,
1,0xa772b00e627940dcb4151f2a70ed18262bfbfa5d,0,0,0,0,0,0,0,1,
1,0xcd63b49b104dd8bb027ac039f7c17e8bb4a879d0,0,0,0,0,0,0,0,1,
1,0xebc0df37f82bfb177968f03268437383484b43f1,0,0,0,0,0,0,0,1,
1,0x9558d884a255f942b3c8ee6629ba39b2d0b13d0e,0,0,0,0,0,0,0,1,
1,0x8d6662deb08786547af2c10aa609d469e545baf8,0,0,0,0,0,0,0,1,
1,0xdc8707412c88abcae8ad3daf22d30250cef682b1,0,0,0,0,0,0,0,1,
1,0xb67c50d0badc509e61857b18c3a859d77f626301,0,0,0,0,0,0,0,1,
1,0x53d60cc23050616285be006514b47d9d7ad2fa97,0,0,0,0,0,0,0,1,
1,0x3baeb723bca057816fcf00e0569d3cda33424714,0,0,0,0,0,0,0,1,
1,0x794603c1a0c4799b04cd8f9406d2b201286ce63a,0,0,0,0,0,0,0,1,
1,0xe02cfbd6d5cdf3035bad9a37b6141c1bf76a1b6c,0,0,0,0,0,0,0,1,
1,0x81b2001ed050a678c25880a7e7385f02969ee269,0,0,0,0,0,0,0,1,
1,0x6D66A6Fe76dF6418136e9e6F7AF9fD7e76e52205,0,0,0,0,0,0,0,1,
1,0xb0ffbd5cfc433a31c485bc663ff3b1239c54e348,0,0,0,0,0,0,0,1,
1,0xb91a99f020a4e485e4b162f799c27d60962c6180,0,0,0,0,0,0,0,1,
1,0x9fdfcf5d1fcccdccc01613cac7e93ad33b7ac72f,0,0,0,0,0,0,0,1,
1,0xcf114df02b87b66a94f94dfd22da3d7b1df07547,0,0,0,0,0,0,0,1,
1,0x381b0a36e73d9e250fd7cc635c43da9fd77f1111,0,0,0,0,0,0,0,1,
1,0xf5d178148b2dddcc8ac0feb29cd8a8d1a9bd4b82,0,0,0,0,0,0,0,1,
1,0xe1e0da672b12f7d0d025f4b52512ab1678b2c7fd,0,0,0,0,0,0,0,1,
1,0x75a38c9d1813901426f10f2fd2f2239aeeed1bc0,0,0,0,0,0,0,0,1,
1,0xeb90a7c89020e0143b2dfc4a5fee5140d7126410,0,0,0,0,0,0,0,1,
1,0x568a45ca77e887363f97474b87daa83fdc6b0b9c,0,0,0,0,0,0,0,1,
1,0xa2960f0862840c6efd02d77606bfed7a0cbd0b77,0,0,0,0,0,0,0,1,
1,0xb738beadee128cfa9e28baa1609d08ff1cbc9535,0,0,0,0,0,0,0,1,
1,0x765d4e12b169440c90084fce821d4ff96a0e6c2e,0,0,0,0,0,0,0,1,
1,0x70f4a2ce11a2524b6686963a5de86e336ee56ebb,0,0,0,0,0,0,0,1,
1,0xb967098513c6888fb75277e93c30d3ada8e867f1,0,0,0,0,0,0,0,1,
1,0x51479b6c26a1568f4ffd3eb64bf89aac000486a8,0,0,0,0,0,0,0,1,
1,0xfde39bf556f0e3a078bff547c4cce631246269af,0,0,0,0,0,0,0,1,
1,0x85de9cdeffb8d555dc18092b837ca238817857b9,0,0,0,0,0,0,0,1,
1,0x6e5f4729f097dc65d5871e1275c58713167227b0,0,0,0,0,0,0,0,1,
1,0x7c40eb76713df2f18243e7f9fb5d53d601b31d25,0,0,0,0,0,0,0,1,
1,0xaf72372d5e4fe24b00d23c15cb10faaf5302c96c,0,0,0,0,0,0,0,1,
1,0x73831da9005709439ee08f6d580cba7de32acb85,0,0,0,0,0,0,0,1,
1,0xa27588bc318968c90d71e4cb02a6bb632f61823d,0,0,0,0,0,0,0,1,
1,0x22c8e4bd7f39ade04b4c3f9640859bf55466d92a,0,0,0,0,0,0,0,1,
1,0x4b018431ecfb9d6fd73ddc23cdafffdba8d672dd,0,0,0,0,0,0,0,1,
1,0xDffC60457ac6F6Af63cC646B3f7c2241532EDa27,0,0,0,0,0,0,0,1,
1,0x31feae14fec2ffc5b24979f2dd4b794758768858,0,0,0,0,0,0,0,1,
1,0x3518fc5b02c5e90d00d79e2fff2c1aab75ef3fab,0,0,0,0,0,0,0,1,
1,0x632c8bf984bdfb9ea73f69052af23bd47db8fb81,0,0,0,0,0,0,0,1,
1,0x52e14e8dfc87e8875ce5e9a94019f497b82b3e01,0,0,0,0,0,0,0,1,
1,0xbb1e32ab9c6f7a6baff1a384a491689b0411b333,0,0,0,0,0,0,0,1,
1,0x2f6c83a82e088abb953871ed0119010c561e8f18,0,0,0,0,0,0,0,1,
1,0xa8a4640cebdc5977a63682894f425dccfff43453,0,0,0,0,0,0,0,1,
1,0x0133f65ecb4e7560805457809e36229513151650,0,0,0,0,0,0,0,1,
1,0x0ccdf93f055438afeaea50b33077409c9538f1d4,0,0,0,0,0,0,0,1,
1,0x803ea7cdc85d27b402c68255addc329594378a4a,0,0,0,0,0,0,0,1,
1,0xcc5bcc8a11e3baecf2fd3d0d7869a146af35357f,0,0,0,0,0,0,0,1,
1,0xf4e4af5471bdd12c234f40acaae24ae891128484,0,0,0,0,0,0,0,1,
1,0x157ad0b0871f520b1bbb19083d9923b4ba324aa1,0,0,0,0,0,0,0,1,
1,0x632c5e0b3f57aea5c7e1089e0aae1f36af92b7d6,0,0,0,0,0,0,0,1,
1,0xea11505e2885bea0a6b56c098997a17243a38da0,0,0,0,0,0,0,0,1,
1,0xa21e0f55faf1cb552b12746d0529e205aa5b4d57,0,0,0,0,0,0,0,1,
1,0xb202e3613956745cb4a7ca8540c35d9b95ec651f,0,0,0,0,0,0,0,1,
1,0x86893c93a26426d9d0f0f3c758b30abce35a2fb7,0,0,0,0,0,0,0,1,
1,0x9b04110bc3eb0788ea507a05ef880c2e96b34b78,0,0,0,0,0,0,0,1,
1,0xab86b85fc773bca022ea723185ace2ea9f4bdc43,0,0,0,0,0,0,0,1,
